code,name,__update_date__
000001,平安银行,2026-03-13
000002,万  科Ａ,2026-03-13
000003,PT金田A,2026-03-13
000004,*ST国华,2026-03-13
000005,ST星源,2026-03-13
000006,深振业Ａ,2026-03-13
000007,全新好,2026-03-13
000008,神州高铁,2026-03-13
000009,中国宝安,2026-03-13
000010,美丽生态,2026-03-13
000011,深物业A,2026-03-13
000012,南  玻Ａ,2026-03-13
000013,*ST石化A,2026-03-13
000014,沙河股份,2026-03-13
000015,PT中浩A,2026-03-13
000016,深康佳Ａ,2026-03-13
000017,深中华A,2026-03-13
000018,神城A退,2026-03-13
000019,深粮控股,2026-03-13
000020,深华发Ａ,2026-03-13
000021,深科技,2026-03-13
000023,*ST深天,2026-03-13
000024,招商地产,2026-03-13
000025,特  力Ａ,2026-03-13
000026,飞亚达,2026-03-13
000027,深圳能源,2026-03-13
000028,国药一致,2026-03-13
000029,深深房Ａ,2026-03-13
000030,富奥股份,2026-03-13
000031,大悦城,2026-03-13
000032,深桑达Ａ,2026-03-13
000033,新都退,2026-03-13
000034,神州数码,2026-03-13
000035,中国天楹,2026-03-13
000036,华联控股,2026-03-13
000037,深南电A,2026-03-13
000038,大通退,2026-03-13
000039,中集集团,2026-03-13
000040,*ST旭蓝,2026-03-13
000042,中洲控股,2026-03-13
000045,深纺织Ａ,2026-03-13
000046,*ST泛海,2026-03-13
000047,ST中侨,2026-03-13
000048,京基智农,2026-03-13
000049,德赛电池,2026-03-13
000050,深天马Ａ,2026-03-13
000055,方大集团,2026-03-13
000056,皇庭国际,2026-03-13
000058,深 赛 格,2026-03-13
000059,华锦股份,2026-03-13
000060,中金岭南,2026-03-13
000061,农 产 品,2026-03-13
000062,深圳华强,2026-03-13
000063,中兴通讯,2026-03-13
000065,北方国际,2026-03-13
000066,中国长城,2026-03-13
000068,华控赛格,2026-03-13
000069,华侨城Ａ,2026-03-13
000070,特发信息,2026-03-13
000078,海王生物,2026-03-13
000088,盐 田 港,2026-03-13
000089,深圳机场,2026-03-13
